"id","japanese"
"90","DHCPスコープ"
"91","通知インターバル(秒)"
"92","収集NIC"
"93","データ収集"
"94","シリアル番号"
"95","不正接続防止機能"
"96","管理MAC台数"
"97","青"
"98","黄"
"99","赤"
"100","メール送信機能が「無効」になりました。\n"
"101","未送信の通知ファイルが残っている場合は削除します。よろしいですか？\n\n"
"102","「いいえ」を選択した場合は、次回メール送信機能を「有効」に"
"103","した際に再送を行います。"
"104","サイトコンソール"
"105","IPアドレス："
"106","ネットワークアドレス："
"107","[ %s ] の%s(E%05u)"
"108","IPアドレス：%s"
"109","ネットワークアドレス：%s"
"110","レジストリを読み込めませんでした。\n"
"111","レジストリの値が存在しません。\n"
"112","フォルダのパスを設定できませんでした。\n"
"113","ファイルのパスを設定できませんでした。\n"
"114","ポリシーファイルを読込めませんでした。\n"
"115","タイムスタンプを設定できませんでした。\n"
"116","フォルダの作成に失敗しました。\n"
"117","作業ファイルの作成に失敗しました。\n"
"118","タイムスタンプの書込みに失敗しました。\n"
"119","データの書込みに失敗しました。\n"
"120","格納ファイルの作成に失敗しました。\n"
"121","ドメインマネージャの定期データ送信機能を提供します。"
"122","サービスを登録しました。\n"
"123","サービスを削除しました。\n"
"124","サービスを開始しました。\n"
"125","サービスを停止しました。\n"
"126","検索用ファイルパス作成失敗"
"127","読み込みファイル名作成失敗失敗"
"128","CSVファイル読み込み失敗"
"129","CSVファイル解析失敗"
"130","ファイル:%s フォーマット異常"
"131","旧ログ(サービス)削除失敗"
"132","旧ログ(ISAPI)削除失敗"
"133","Trap送信初期化失敗"
"134","定義ファイル読み込み失敗"
"135","ウィンドウ初期化失敗"
"136","タイマ設定失敗"
"137","レジストリ変更検出イベントハンドル作成失敗"
"138","レジストリ変更用レジストリハンドル作成失敗"
"139","レジストリ変更検出イベント設定失敗"
"140","レジストリの再読み込み失敗"
"141","ログ再初期化失敗、変更前のまま運用続行"
"142","レジストリ変更検出設定失敗、検出不能で運用続行"
"143","DomainManagerでメモリリークが発生しました。"
"144","メモリリーク発生"
"145","送信用ファイルパス作成失敗"
"146","ファイル:%s (バージョン番号)"
"147","統合DB転送時刻文字列作成失敗"
"148","ファイル:%s (統合DB転送時刻)"
"149","バックアップファイル名作成失敗失敗"
"150","ファイル取得時刻文字列作成失敗"
"151","ファイル:%s (項目:%d)"
"152","ファイル:%s (ファイル終了マーク)"
"153","送信ファイル検索用パス作成失敗"
"154","送信ファイル名作成失敗"
"155","送信コマンド作成失敗"
"156","プロセス実行完了待ち"
"157","プロセス終了コード取得"
"158","コード:%lu"
"159","ファイル:%s"
"160","現在日付文字列作成失敗"
"161","現在時刻文字列作成失敗"
"162","バックアップディレクトリの旧ファイル"
"163","送信ディレクトリの旧ファイル"
"164","送信完了時刻文字列作成失敗"
"165","\n正しいシリアル番号を入力してください。"
"166","ドメインマネージャヘルプ.lnk"
"167","セットアップを中断します。よろしいですか？"
"168","セットアップの中断"
"169","Windowsフォルダを取得します。"
"170","プログラムフォルダを取得します。"
"171","スタートメニューのプログラムフォルダを取得します。"
"172","インストールフォルダを取得します。"
"173","サービスを停止します。"
"174","ファイルをコピーします。\r\n  コピー元： %s\r\n  コピー先： %s"
"175","コピーが完了しました。"
"176","ショートカットを作成します。\r\n   %s\\%s"
"177","レジストリを設定します。"
"178","アンインストールコマンドをコピーします。"
"179","アンインストール情報を設定します。"
"180","SecureVisor ドメインマネージャ"
"181","サービスをインストールします。"
"182","SecureVisorのドメインマネージャ機能を提供します。"
"183","サービスを開始します。"
"184","インストールが完了しました。"
"185","DomainManagerのバージョンアップが完了しました。"
"186","インストールが完了しました。\r\nIISが起動していません。IISを起動してください。"
"187","DomainManagerのバージョンアップが完了しました。\r\nIISが起動していません。IISを起動してください。"
"188","インストールが完了しました。\r\nIISがインストールされていません。IISをインストールしてください。"
"189","DomainManagerのバージョンアップが完了しました。\r\nIISがインストールされていません。IISをインストールしてください。"
"190","インストールが完了しました。\r\n既存のDomainManager ISAPIを入れ替えるためには再起動が必要です"
"191","DomainManagerのバージョンアップが完了しました。\r\n既存のDomainManager ISAPIを入れ替えるためには再起動が必要です"
"192","サービスの置き換えを有効にするには再起動が必要です。"
"193","インストールが不完全なまま中断されます。\nコントロールパネルよりアンインストールしてください"
"194","インストールフォルダを選択してください"
"195","Administrator権限がありません"
"196","SecureVisor ドメインマネージャをアンインストールします。\r\n"
"197","削除を実行すると、未送信のものを含む全ての受信データも削除されます。\r\n"
"198","よろしいですか？"
"199","サービスを削除します。"
"200","ショートカットを削除します。"
"201","\\SecureVisor\\ドメインマネージャヘルプ.lnk"
"202","フォルダを削除しています。"
"203","レジストリを削除します。"
"204","アンインストールが完了しました"
"205","ファイルの削除に失敗しました\r\nアンインストールは完了しませんでした"
"206","表示／属性(*)"
"207","状態、識別名は非表示に出来ません"
"208","カスタマイズはホスト一覧再起動後に反映されます"
"209","名前\n"
"210","    SvGet - オブジェクト情報の表示\n"
"211","形式\n"
"212","引数\n"
"213","    hostname...ホスト名\n"
"214","    portnumber...ポート番号\n"
"215","    object...オブジェクト名\n"
"216","    attributname...属姓名\n"
"217","説明\n"
"218","    オブジェクトの情報を表示する。\n"
"219","    ポート番号が指定されない場合は、ポート番号を[23490]とみなす\n"
"220","    ホスト名が指定されない場合は、自ホストとみなす\n"
"221","    属性名が指定されない場合は、すべての属性とみなす\n"
"222","\nホストエージェント設定を実行するには、Administratos/SYSTEM権限が必要です。"
"223","SecureVisorのホストエージェント機能を提供します。"
"224","ホストエージェントを停止できませんでした。\nダイアログ終了後、マシンを再起動してください。"
"225","ホストエージェント設定.lnk"
"226","SecureVisor ホストエージェント"
"227","インストールが完了しました。\n"
"228","[スタート]-[（すべての）プログラム]-[SecureVisor]-"
"229","[ホストエージェント設定]\n"
"230","よりHostAgentの設定を行ってください。"
"231","HostAgentのバージョンアップが完了しました。\n"
"232","Administrator権限がありません。"
"233","SecureVisor ホストエージェントをアンインストールします。\r\n"
"234","\\SecureVisor\\ホストエージェント設定.lnk"
"235","アンインストールが完了しました。"
"236","ファイルの削除に失敗しました。\nアンインストールは完了しませんでした。"
"237","サービスを登録しました。"
"238","サービスを削除しました。"
"239","サービスを開始しました。"
"240","サービスを停止しました。"
"241","ライブラリロード失敗(KERNEL32.DLL)"
"242","関数ポインタ取得失敗(RegisterServiceProcess)"
"243","RegisterServiceProcess()失敗"
"244","HostAgentでメモリリークが発生しました。"
"245","タイマー設定に失敗"
"246","ウイルスバスター"
"247","ヘッダー異常（空のカラムが存在します）"
"248","ヘッダー異常（不正なカラム\"%s\"が存在します）"
"249","ヘッダー異常（ヘッダー行が見つかりません）"
"250","ヘッダー異常（識別名が見つかりません）"
"251","ヘッダー異常（MACアドレスが見つかりません）"
"252","ファイル名：%s"
"253","青リストの設定に失敗しました。"
"254","黄リストの設定に失敗しました。"
"255","赤リストの設定に失敗しました。"
"256","\n実行ファイルのパスが不正です。\n"
"257","\nファイル[%s]の読み込みでエラーになりました。"
"258","%lu行目の登録時にエラーになりました。(E%05lu)\n"
"259","次のNetworkAgentへの登録時にエラーになりました"
"260","。(E%05lu)\n\t%s\n"
"261","サーバーとの通信中です。"
"262","DHCPスコープの取得に失敗しました。"
"263","ＭＳ Ｐゴシック"
"264","他識別子通知"
"265","無オブジェクト通知"
"266","オブジェクトNULL通知"
"267","オブジェクト名無し通知"
"268","オブジェクト名異常通知"
"269","他エージェント向け通知[%s]\n"
"270","エージェント向けコード異常通知[%s]:dwInfoCode=%u\n"
"271","ホスト向けコード異常通知[%s]:dwInfoCode=%u\n"
"272","ホスト一覧 Version %s"
"273","引数(ポート番号)が不正です"
"274","古いバージョンのネットワークエージェントが選択されました。"
"275","ホスト一覧を起動することができません。"
"276","現在、外部設定モードで動作しています。"
"277","ホスト一覧画面の変更は可能ですが保存することはできません。"
"278","値が変更されています。保存しますか？\n「いいえ」を選択すると設定内容がサイトマネージャおよび、ネットワークエージェントに設定されません。"
"279","外部設定モードのため保存できません。"
"280","値が変更されています。保存しますか？\n「いいえ」を選択すると設定内容がネットワークエージェントに設定されません。"
"281","同一MACアドレスで異なる[状態(色)]のエントリが存在します。\n状態を確認後、保存してください。"
"282","ホストの追加が行われています。\n保存してください。"
"283","ホスト一覧の取得中です。\n%s"
"284","データの保存処理中です。"
"285","保存処理に必要な情報の収集中です。"
"286","サイトマネージャからの属性取得が失敗したため保存処理に失敗しました。"
"287","不正接続防止機能実行中のため、全てのホストが不正接続防止対象となります。よろしいですか？"
"288","変更されたホストの検出中です。"
"289","サイトマネージャと通信中です。"
"290","ネットワークエージェントと通信中です。"
"291","\n今回の修正を反映させるためには、ネットワークエージェントとの通信が回復後、再度「保存」を行ってください。"
"292","削除:%s"
"293","変更:%s"
"294","同一MACアドレスで異なる[状態(色)]のエントリが存在するため統一しました。\n状態を確認後、保存してください。"
"295","エラー：行が選択されていません"
"296","選択された範囲に編集できない項目が含まれています。"
"297","貼り付け先に編集できない項目が含まれています。"
"298","貼り付け先の項目数と一致していません。"
"299","%d 件の文字列を置き換えました"
"300","検索条件に一致する文字列がありませんでした"
"301","一致する文字列が見つかりませんでした"
"302","新規のオブジェクトの名称変更"
"303","削除済みのオブジェクトの削除"
"304","オブジェクトが削除されました"
"305","オブジェクトが変更されました"
"306","エージェントが削除されました"
"307","エージェント名が変更されました"
"308","追加:%s"
"309","Error:ParamSetAgent(),通知からオブジェクト名が取り出せませんでした。"
"310","Error:ParamSetAgent(),通知からエージェント名が取り出せませんでした。"
"311","Error:ParamSetAgent(),通知のエージェント名称が同一"
"312","エージェント名称を変更しました"
"313","変更されたエージェントのオブジェクトを変更中です。"
"314","エージェントの変更：オブジェクトの変更は行いませんでした"
"315","エージェントの変更：オブジェクトを %d件 変更しました"
"316","表示行数が表示可能最大数を超えました(E%05u )"
"317","    SvMail - メール送信コマンド\n"
"318","    メールの送信を行う。\n"
"319","    -from, -to, -msg, -subject, -ccパラメーターの後にはそのパラメーターに\n"
"320","    対するメッセージ(アドレス)が続く。\n"
"321","    アドレスを複数名しているする場合は\",\"を付けてアドレスを続ける。\n"
"322","    -fileパラメーターが指定された場合、その後にはファイル名(絶対パス)が指\n"
"323","    定される。\n"
"324","    ファイル名には、\"*.txt\"や、\"aaa.*\"などの記述が可能である。\n"
"325","    -deleteパラメーターが指定されると、送信後にファイルを削除する。\n"
"326","    -deleteパラメーターが指定できるのは、-fileパラメーターが指定された場合\n"
"327","    に限る。\n"
"328","    -dパラメーターが指定されるとデバッグ用ログを出力する。ログファイル名は\n"
"329","    SvMail.dbgである。ログファイルは実行ファイル(SvMail.exe)の親ディレクト\n"
"330","    リ内のTempディレクトリ内に自動に作成される為、親ディレクトリ内にあらか\n"
"331","    じめTempディレクトリを作成しておく必要がある\n"
"332","パラメーター\n"
"333","    -smtpsever ... サーバーのホスト名、アドレスを識別する為のパラメーター\n"
"334","    -from ... 送信者アドレスを識別する為のパラメーター\n"
"335","    -to ... 宛先アドレスを識別する為のパラメーター\n"
"336","    -cc ... 追加宛先アドレスを識別する為のパラメーター\n"
"337","    -subject ... 件名を識別する為のパラメーター\n"
"338","    -msg ... メッセージを識別する為のパラメーター\n"
"339","    -file ... ファイル名を識別する為のパラメーター\n"
"340","    servername ... サーバーのホスト名、またはアドレス\n"
"341","    address ... アドレス\n"
"342","    subject ... 題、件名\n"
"343","    message ... 送信メッセージ\n"
"344","    filename ... ファイル名(絶対パスで指定)\n"
"345","    -delete ... ファイルを消去する\n"
"346","    -d ... デバッグ用ログを出力する\n"
"347","<M:SvMail smtp_send_msg-JIS→JIS(%lu)>\n"
"348","<M:SvMail smtp_send_head-Subject Sjis→Jis(%lu)>\n"
"349","<M:SvMail smtp_send_head-Subject Jis→Base64(%lu)>\n"
"350","\nエージェント設定を実行するには、Administratos/SYSTEM権限が必要です。"
"351","エージェント設定"
"352","状態：停止中"
"353","状態：収集中"
"354","状態：防止中"
"355","エージェントサービスの停止に失敗したため\n設定値の反映は最大で１時間後となります"
"356","マネージャとの通信ができません。指定されたアドレス、ポートが誤っている可能性がありますがこのまま設定しますか？"
"357","\nメールアドレスの文法は以下の通りです。\n"
"358","    ・使用可能な文字は半角英数、ハイフン(-)、アンダーバー(_)、"
"359","アットマーク(@)、ドット(.)からなる文字列です。\n"
"360","    ・@は一つだけ指定可能で、@の前後には1文字以上の文字を設定"
"361","する必要があります。"
"362","収集NICが変更されました。\n収集NICに対応したネットワークアドレスに変更してください。"
"363","マネージャアドレスを入力してください。"
"364","マネージャアドレスの使用可能文字は、\n\"A(a)～Z(z)、0～9、-(ハイフン)、_(アンダーバー)、.(ドット)\"のみです。"
"365","マネージャポートを入力してください。"
"366","マネージャポートは、0 ～ 65535 までが有効です。"
"367","設置場所が不正です。\n使用可能な文字は、半角英数字、半角記号文字、2バイト文字です。"
"368","管理者氏名が不正です。\n使用可能な文字は、半角英数字、半角記号文字、2バイト文字です。"
"369","管理者電話番号が不正です。\n使用可能な文字は、半角英数字、半角記号文字、2バイト文字です。"
"370","管理者メールアドレスが不正です。"
"371","ネットワークマスクを入力してください。"
"372","ネットワークマスクが不正です。8～30の整数を入力してください。"
"373","ネットワークアドレスを入力してください。"
"374","DHCPスコープリストが不正です。\nネットワークアドレスに属していないDHCPスコープが設定されています。"
"375","ヘルプファイルが見つかりません。"
"376","エージェント設定.lnk"
"377","エージェントのヘルプ.lnk"
"378","ネットワークエージェントは省電力モードでは動作しないため\n"
"379","省電力モードを解除してください。\n"
"380","インストールを続行しますか？"
"381","注意"
"382","ファイルをコピーします。\r\n  コピー元： %s\r\n"
"383","  コピー先： %s"
"384","セットアップを中断します。"
"385","アドレス情報を取得中"
"386","ファイルを作成しています。"
"387","SecureVisor ネットワークエージェント"
"388","SecureVisorのネットワークエージェント機能を"
"389","提供します。"
"390","マシンを再起動してください。"
"391","NetworkAgentのバージョンアップが完了"
"392","しました。"
"393","しました。\nサービスを再起動してください。"
"394","インストールが不完全なまま中断されます。\n"
"395","コントロールパネルよりアンインストールしてください"
"396","ネットワークエージェントを動かすにはWinNITドライバが必要です。\r\n"
"397","WinNITドライバのインストールは下記の手順で行ってください。\r\n\r\n"
"398","[WinNITインストール(W)] ボタンを押す\r\n"
"399","        ↓\r\n"
"400","[ローカルエリア接続] をダブルクリックする\r\n"
"401","[プロパティ(P)] ボタンを押す\r\n"
"402","[インストール(I)...] ボタンを押す\r\n"
"403","[プロトコル] を選択して [追加(A)...] ボタンを押す\r\n"
"404","[ディスク使用(H)...] ボタンを押す\r\n"
"405","[A:\\] と表示されている個所を以下のパスに変更する\r\n"
"406","[OK] ボタンを押す\r\n"
"407","[閉じる] ボタンを押す\r\n"
"408","[続行] ボタンを押す\r\n"
"409","[インストール(N)...] ボタンを押す\r\n"
"410","WinNITドライバがインストールされていません"
"411","WinNITインストールを実行できません。"
"412","[プロトコル] タブを開く\r\n"
"413","[追加(A)...] ボタンを押す\r\n"
"414","[A:] と表示されている個所を以下のパスに変更する\r\n"
"415","[はい(Y)] ボタンを押してコンピュータを再起動する"
"416","SecureVisor ネットワークエージェントをアンインストールします。\r\n"
"417","\\SecureVisor\\エージェント設定.lnk"
"418","\\SecureVisor\\エージェントのヘルプ.lnk"
"419","このホストはネットワークへの接続が認められていない"
"420","ため、SecureVisorにより切断されます。"
"421","ホスト情報をマネージャに通知できません"
"422","SecureVisor のエージェント機能を提供します。"
"423","異常終了しました。%s\n"
"424","NetworkAgentでメモリリークが発生しました。"
"425","サイトコンソール.lnk"
"426","SecureVisor サイトマネージャ"
"427","異なるバージョンのサイトマネージャが"
"428","インストールされています。\n"
"429","サイトコンソールをインストールできません。"
"430","新しいバージョンのサイトコンソールが"
"431","バージョンダウンできません。"
"432","ファイルをコピーします。\r\n"
"433","  コピー元： %s\r\n  コピー先： %s"
"434","SecureVisor サイトコンソール"
"435","サイトコンソールのインストールが完了しました。"
"436","サイトコンソールのバージョンアップが完了しました。"
"437","エージェント名を指定してください。"
"438","ドット(.)で始まるエージェント名を設定することはできません。"
"439","ドット(.)で終わるエージェント名を設定することはできません。"
"440","使用可能な文字は、1バイト以上32バイト以下の半角英数、ハイフン(-)、\nアンダーバー(_)、小括弧((,))、ドット(.)です。"
"441","マネージャアドレスを指定してください。"
"442","マネージャポートを指定してください。"
"443","ホスト一覧.lnk"
"444","ホスト一覧をインストールできません。"
"445","新しいバージョンのホスト一覧が"
"446","SecureVisor ホスト一覧"
"447","ホスト一覧のインストールが完了しました。"
"448","ホスト一覧のバージョンアップが完了しました。"
"449","    SvSet - オブジェクの属性に値を設定\n"
"450","    attributename...属姓名\n"
"451","    value...値。属性に設定する値\n"
"452","    オブジェクトの属性に値を設定する。\n"
"453","    ホスト名が指定されない場合は、ホストのアドレスを\"127.0.0.1\"とみなす\n"
"454","\n基本情報設定ダイアログを実行するには、Administratos/SYSTEM権限が必要です。"
"455","初期チェック終了"
"456","日間ファイルの保存処理終了"
"457","オブジェクトの保存処理終了"
"458","ログ出力終了"
"459","全ての処理終了"
"460","%s：%s\r\n"
"461","%s：%s\r\n\r\n"
"462","SecureVisorのサイトマネージャ機能を提供します。"
"463","<M:SvmgSnmpTrapReceive(FAIL_AUTHENTICATION（IP_ADDRESS）)>\n"
"464","<M:SvmgSnmpTrapReceive(FAIL_AUTHENTICATION（TRAP_PACKET）)>\n"
"465","SiteManagerでメモリリークが発生しました。"
"466","タイマーの設定に失敗しました。"
"467","サイト基本情報を取得します。"
"468","ドメインマネージャのURLを取得します。"
"469","データ収集するには、NetworkAgentをインストール後、\n"
"470","サイトコンソールから「開始」作業を実行してください。"
"471","SiteManagerのバージョンアップが完了しました。"
"472","SecureVisor サイトマネージャをアンインストールします。\r\n"
"473","削除を実行すると、これまでに収集したデータもすべて削除されます。\r\n"
"474","\\SecureVisor\\サイトコンソール.lnk"
"475","\\SecureVisor\\ホスト一覧.lnk"
"476","ホスト一覧　カスタマイズ"
"477","次回のバージョンチェックは、%lu時間後に行われます。\n"
"478","今すぐバージョンアップを行いますか？\n"
"479","メモリ不足エラーです。"
"480","バージョンアップを行うとGUIは強制終了されます。\n"
"481","以下のGUIを起動している場合は終了させてください。\n"
"482","　　・サイトコンソール\n"
"483","　　・ホスト一覧\n"
"484","　　・ホスト一覧カスタマイズ\n\n"
"485","[いいえ]を選択するとバージョンアップを中止します。\n"
"486","準備はよろしいですか？\n"
"487","SvUpdHostでメモリリークが発生しました。"
"488","強制バージョンアップまで 60 秒"
"489","強制バージョンアップまで %d 秒"
"490","成功しました。"
"491","原因不明のエラーです。"
"492","引数が不正です。"
"493","コマンド引数が不正です。"
"494","メモリが足りません。"
"495","見つかりません。"
"496","多すぎます。"
"497","タイムアウトしました。"
"498","サポートされていません。"
"499","読み込みに失敗しました。"
"500","書き込みに失敗しました。"
"501","ソケット関連のエラーです。"
"502","クローズされました。"
"503","長すぎます。"
"504","既に存在しています。"
"505","ディスクがいっぱいです。"
"506","デコードに失敗しました。"
"507","ファイル名が長すぎます。"
"508","ファイルを開けません。"
"509","短すぎます。"
"510","パラメータが不正です。"
"511","フォルダを作成できません。"
"512","名前変更に失敗しました。"
"513","Win32APIのエラーです。"
"514","削除に失敗しました。"
"515","IPアドレスを取得できませんでした。"
"516","処理が完了しました。"
"517","オブジェクト名が不正です。"
"518","大きすぎます。"
"519","小さすぎます。"
"520","クォーテーション(\"または')が閉じていません。"
"521","値が不正です。"
"522","レジストリを読み込めませんでした。"
"523","レジストリに書き込めませんでした。"
"524","ネットワークエージェントと通信できません。"
"525","サービスの登録に失敗しました。"
"526","サービスは既に登録されています。"
"527","サービスの削除に失敗しました。"
"528","サービスはインストールされていません。"
"529","サービスの状態を取得できません。"
"530","サービスは停止中ではありません。"
"531","サービスコントロールマネージャに接続できません。"
"532","サービスの開始に失敗しました。"
"533","サービスはすでに開始しています。"
"534","サービスの停止に失敗しました。"
"535","サービスはすでに停止しています。"
"536","属性値が不正です。"
"537","リソースがありません。"
"538","コピーに失敗しました。"
"539","ロールバック処理に失敗しました。"
"540","認証に失敗しました。"
"541","属性が存在しません。"
"542","プロセスの起動に失敗しました。"
"543","ファイルの作成に失敗しました。"
"544","ドメインマネージャと通信できなくなりました。"
"545","ネットワークエージェントの登録に失敗しました。"
"546","ネットワークエージェントの更新に失敗しました。"
"547","ドメインマネージャへのアップロードに失敗しました。"
"548","アップロードでドメインマネージャからエラーが返されました。"
"549","お試し版の試用期限を過ぎています。"
"550","シリアル番号が不正です。"
"551","バージョン番号が不正です。"
"552","メールの送信に失敗しました。"
"553","レジストリを削除できませんでした。"
"554","送信間隔を入力してください。"
"555","送信間隔が不正です。1～24までの整数を入力してください。"
"556","送信先アドレスを入力してください。"
"557","送信ポートを入力してください。"
"558","送信ポートが不正です。1～65535までの整数を入力してください。"
"559","青リストの取得に失敗しました。"
"560","青リストが存在しません。"
"561","サイトマネージャで青リストの取得に失敗しました。"
"562","サイトマネージャで青リストの設定に失敗しました。"
"563","一部のエージェントで青リストの設定に失敗しました。"
"564","すべてのエージェントで青リストの設定に失敗しました。"
"565","バージョンアップ時のデータコンバートに失敗しました。"
"566","黄リストの取得に失敗しました。"
"567","赤リストの取得に失敗しました。"
"568","IPアドレスが変更されました。"
"569","バージョンダウンはできません。現在のプログラムをアンインストール後、インストールしてください。"
"570","Windows NT はサポートされていません。"
"571","DNS名の取得要求に失敗しました。"
"572","不正なホストからの接続です。"
"573","NICが見つかりません。"
"574","WinNITのエラーです。"
"575","エージェントの自動登録に失敗しました。"
"576","エージェントの属性ファイル読み込みに失敗しました。"
"577","不正なエージェントのバージョンを受信しました。"
"578","パケットの解析に失敗しました。"
"579","ホスト発見の通知に失敗しました。"
"580","通知情報の作成に失敗しました。"
"581","DNS名の解決要求に失敗しました。"
"582","コンピュータ名の解決要求に失敗しました。"
"583","マネージャとの接続に失敗しました。"
"584","タイマー(時)の設定に失敗しました。"
"585","タイマー(日)の設定に失敗しました。"
"586","タイマー(ホスト発見)の設定に失敗しました。"
"587","名前解決を要求できませんでした。"
"588","自動バージョンアップの起動に失敗しました。"
"589","エージェントの登録に失敗しました。"
"590","不明なマネージャからの接続です。"
"591","データの受信に失敗しました。"
"592","切断処理に失敗しました。"
"593","MUTEXの作成に失敗しました。"
"594","NIC名称の取得に失敗しました。"
"595","MUTEXの解放に失敗しました。"
"596","MUTEXハンドルの解放に失敗しました。"
"597","タイマー(秒)の設定に失敗しました。"
"598","ネットワークエージェントがインストールされていません。"
"599","エージェント設定ダイアログの起動に失敗しました。"
"600","マネージャアドレスは必須です。"
"601","マネージャアドレスは256バイトまで使用可能です。"
"602","ポート番号は必須です。"
"603","ポート番号は \"1\" ～ \"65535\" まで使用可能です。"
"604","エージェント名は必須です。"
"605","エージェント名は32バイトまで使用可能です。"
"606","エージェント名の使用可能文字は、半角英数字、及び\n\"-\"、\"_\"、\".\"、\"(\"、\")\" です。"
"607","ネットワークマスクは \"8\" ～ \"30\" まで使用可能です。"
"608","アドレスが不正です。"
"609","通知インターバルは \"30\" ～ \"3600\" まで使用可能です。"
"610","バージョン情報がありません。"
"611","NIC名称がありません。"
"612","NIC名称は選択してください。"
"613","DHCPスコープの追加に失敗しました。"
"614","開始アドレスを入力してください。"
"615","開始アドレスが不正です。0～255の整数を入力してください。"
"616","終了アドレスを入力してください。"
"617","終了アドレスが不正です。0～255の整数を入力してください。"
"618","開始アドレスが不適切です。"
"619","開始アドレスがネットワークアドレスに属していません。"
"620","終了アドレスが不適切です。"
"621","終了アドレスがネットワークアドレスに属していません。"
"622","スコープが重複しています。"
"623","終了アドレスは開始アドレスより大きい値を設定してください。"
"624","エージェントオブジェクトの作成に失敗しました。"
"625","エージェントサービスの起動に失敗しました。"
